,origin_latitude,origin_longitude,destination_latitude,destination_longitude
0,-22.8983039,-47.0544393,-22.8973631,-47.0637035
1,-22.8983039,-47.0544393,-22.91165,-47.0575
2,-22.889416,-47.06551,-22.908395,-47.043829
3,-22.8863512,-47.06719349999999,-22.900047,-47.049085
4,-22.8598959,-47.0385039,-22.8612394,-47.037766
5,-22.8598959,-47.0385039,-22.851646,-47.046092
6,-22.8598959,-47.0385039,-22.865281,-47.043279
7,-22.8882589,-47.0656436,-22.884802,-47.062889
8,-22.8882589,-47.0656436,-22.883369,-47.060184
9,-22.8720078,-47.0292625,-22.8972371,-47.0245384
10,-22.8720078,-47.0292625,-22.882812,-47.067314
11,-22.8720078,-47.0292625,-22.903321,-47.04491
12,-22.856212,-47.067248,-22.854596,-47.062553
13,-22.8927899,-47.0729831,-22.888244,-47.048297
14,-22.8927899,-47.0729831,-22.934133,-47.100815
15,-22.8927899,-47.0729831,-22.932245,-47.047412
16,-22.8927899,-47.0729831,-22.8521019,-47.06688680000001
17,-22.9263472,-47.0399536,-22.924663,-47.060265
18,-22.9263472,-47.0399536,-22.925115,-47.038254
19,-22.8698409,-47.0639756,-22.88191,-47.072109
20,-22.8698409,-47.0639756,-22.868864,-47.035065
21,-22.8698409,-47.0639756,-22.85362,-47.063833
22,-22.8698409,-47.0639756,-22.9020146,-47.0752207
23,-22.9053992,-47.0511287,-22.912099,-47.048895
24,-22.899252,-47.0515086,-22.87947,-47.066116
25,-22.899252,-47.0515086,-22.9444472,-47.0218984
26,-22.8210339,-47.0814676,-22.817147,-47.074632
27,-22.8210339,-47.0814676,-22.8211686,-47.07781199999999
28,-22.8210339,-47.0814676,-22.824862,-47.067328
29,-22.9093181,-47.0947389,-22.908155,-47.084191
30,-22.868982,-47.045134,-22.89313,-47.063314
31,-22.868982,-47.045134,-22.89799,-47.076874
32,-22.868982,-47.045134,-22.9125032,-47.0661015
33,-22.868982,-47.045134,-22.91441,-47.029089
34,-22.868982,-47.045134,-22.918192,-47.057931
35,-22.868982,-47.045134,-22.901755,-47.059974
36,-22.868982,-47.045134,-22.9012,-47.064977
37,-22.868982,-47.045134,-22.85344,-47.047042
38,-22.8846357,-47.05291039999999,-22.859893,-47.069194
39,-22.8846357,-47.05291039999999,-22.892849,-47.058948
40,-22.8846357,-47.05291039999999,-22.918503,-47.054388
41,-22.825663,-47.079898,-22.7909427,-47.0827694
42,-22.92634,-47.039755,-22.928427,-47.0360594
43,-22.8149511,-47.0801453,-22.8074337,-47.0678812
44,-22.794318,-47.07329,-22.82039,-47.078054
45,-22.794318,-47.07329,-22.806786,-47.069357
46,-22.794318,-47.07329,-22.8025864,-47.0752397
47,-22.8071682,-47.0776126,-22.808932,-47.070312
48,-22.8071682,-47.0776126,-22.817868,-47.094358
49,-22.8071682,-47.0776126,-22.81106,-47.075936
50,-22.8071682,-47.0776126,-22.811714,-47.024382
51,-22.8071682,-47.0776126,-22.7940806,-47.0703937
52,-22.8071682,-47.0776126,-22.8196867,-47.0723498
53,-22.8071682,-47.0776126,-22.807011,-47.066723
54,-22.8071682,-47.0776126,-22.8540878,-47.0458732
55,-22.9012142,-47.0603836,-22.9181908,-47.0683657
56,-22.9012142,-47.0603836,-22.9110446,-47.0457137
57,-22.9012142,-47.0603836,-22.920018,-47.058355
58,-22.9012142,-47.0603836,-22.902751,-47.095718
59,-22.9012142,-47.0603836,-22.883617,-47.062274
60,-22.9012142,-47.0603836,-22.935135,-47.057711
61,-22.9012142,-47.0603836,-22.924791,-47.038119
62,-22.8240909,-47.0803259,-22.791218,-47.081424
63,-22.8549551,-47.0511461,-22.8646674,-47.0448423
64,-22.8549551,-47.0511461,-22.905562,-47.051533
65,-22.905657,-47.070652,-22.8980412,-47.0666313
66,-22.8956358,-47.0793379,-22.8854583,-47.0828681
67,-22.8932272,-47.05491019999999,-22.8993435,-47.0561464
68,-22.9201722,-47.0854096,-22.9249831,-47.0737026
69,-22.900663,-47.051109,-22.908485,-47.041199
70,-22.900881,-47.052463,-22.8911462,-47.0578739
71,-22.937549,-47.049996,-22.8993435,-47.0561464
72,-22.8807437,-47.0515394,-22.8887586,-47.0331966
73,-22.8807437,-47.0515394,-22.835613,-47.0562251
74,-22.8334515,-47.07850759999999,-22.8083384,-47.0678799
75,-22.8334515,-47.07850759999999,-22.833225,-47.081482
76,-22.8334515,-47.07850759999999,-22.827261,-47.080068
77,-22.8334515,-47.07850759999999,-22.8023307,-47.0764727
78,-22.8334515,-47.07850759999999,-22.832374,-47.057517
79,-22.890384,-47.053835,-22.8929683,-47.0792299
80,-22.890384,-47.053835,-22.933905,-47.059254
81,-22.890384,-47.053835,-22.8528002,-47.0511397
82,-22.890384,-47.053835,-22.903342,-47.051469
83,-22.872089,-47.062993,-22.855694,-47.062695
84,-22.8955312,-47.0476233,-22.9147397,-47.0623461
85,-22.8955312,-47.0476233,-22.853651,-47.046041
86,-22.8955312,-47.0476233,-22.891746,-47.071934
